race,sigla_uf,outcome_label,n,share
White,PE,Avoidable,27355,0.6331736222021619
White,PE,Ill-defined,1505,0.03483554382797491
White,PE,Non-avoidable,14343,0.33199083396986323
White,PI,Avoidable,4731,0.6716354344122658
White,PI,Ill-defined,258,0.036626916524701875
White,PI,Non-avoidable,2055,0.29173764906303234
White,PR,Avoidable,101787,0.6420555972573534
White,PR,Ill-defined,4145,0.026145975916686114
White,PR,Non-avoidable,52601,0.3317984268259605
White,RJ,Avoidable,84806,0.5942624099559941
White,RJ,Ill-defined,9746,0.06829329820332428
White,RJ,Non-avoidable,48156,0.3374442918406817
White,RN,Avoidable,7398,0.6401869158878505
White,RN,Ill-defined,266,0.02301834544825199
White,RN,Non-avoidable,3892,0.33679473866389753
White,RO,Avoidable,4192,0.6191109141928814
White,RO,Ill-defined,286,0.04223896027174716
White,RO,Non-avoidable,2293,0.33865012553537144
White,RR,Avoidable,861,0.6257267441860465
White,RR,Ill-defined,29,0.021075581395348836
White,RR,Non-avoidable,486,0.35319767441860467
White,RS,Avoidable,86588,0.6475176297271225
White,RS,Ill-defined,5437,0.04065867502224748
White,RS,Non-avoidable,41698,0.31182369525063003
White,SC,Avoidable,62256,0.6409158293526602
White,SC,Ill-defined,2205,0.02270013177400758
White,SC,Non-avoidable,32675,0.33638403887333224
White,SE,Avoidable,4265,0.598428511295075
White,SE,Ill-defined,325,0.0456012347411253
White,SE,Non-avoidable,2537,0.3559702539637996
White,SP,Avoidable,270211,0.5866092672675802
White,SP,Ill-defined,19460,0.042246305076503586
White,SP,Non-avoidable,170961,0.3711444276559162
White,TO,Avoidable,2726,0.6557613663699784
White,TO,Ill-defined,81,0.019485205677171036
White,TO,Non-avoidable,1350,0.3247534279528506
