ano,idade_grupo,raca_cor,sexo,sigla_uf,escolaridade_grupo,n
2012,adulto,4,1,PI,baixa,152
2012,adulto,4,1,PI,media,564
2012,adulto,4,1,PR,alta,198
2012,adulto,4,1,PR,baixa,41
2012,adulto,4,1,PR,media,567
2012,adulto,4,1,RJ,alta,455
2012,adulto,4,1,RJ,baixa,107
2012,adulto,4,1,RJ,media,1298
2012,adulto,4,1,RN,alta,39
2012,adulto,4,1,RN,baixa,196
2012,adulto,4,1,RN,media,215
2012,adulto,4,1,RO,alta,30
2012,adulto,4,1,RO,baixa,16
2012,adulto,4,1,RO,media,91
2012,adulto,4,1,RR,alta,29
2012,adulto,4,1,RR,baixa,5
2012,adulto,4,1,RR,media,83
2012,adulto,4,1,RS,alta,32
