ano,escolaridade_grupo,idade_grupo,raca_cor,sexo,sigla_uf,ocupacao,n
2012,alta,adulto,1,1,MS,231205,1
2012,alta,adulto,1,1,MS,252105,1
2012,alta,adulto,1,1,MS,261125,1
2012,alta,adulto,1,1,MS,262105,1
2012,alta,adulto,1,1,MS,262610,1
2012,alta,adulto,1,1,MS,262615,1
2012,alta,adulto,1,1,MS,262710,1
2012,alta,adulto,1,1,MS,263105,1
2012,alta,adulto,1,1,MS,313220,1
2012,alta,adulto,1,1,MS,314405,1
2012,alta,adulto,1,1,MS,322230,1
2012,alta,adulto,1,1,MS,354705,8
2012,alta,adulto,1,1,MS,411005,3
2012,alta,adulto,1,1,MS,411010,2
2012,alta,adulto,1,1,MS,414105,1
2012,alta,adulto,1,1,MS,422105,1
2012,alta,adulto,1,1,MS,512105,2
2012,alta,adulto,1,1,MS,513205,2
2012,alta,adulto,1,1,MS,513405,2
2012,alta,adulto,1,1,MS,516110,4
2012,alta,adulto,1,1,MS,517330,1
2012,alta,adulto,1,1,MS,521105,1
2012,alta,adulto,1,1,MS,521110,1
2012,alta,adulto,1,1,MS,521115,1
2012,alta,adulto,1,1,MS,524105,1
2012,alta,adulto,1,1,MS,524305,2
2012,alta,adulto,1,1,MS,611005,1
2012,alta,adulto,1,1,MS,612005,2
2012,alta,adulto,1,1,MS,621005,8
2012,alta,adulto,1,1,MS,622020,4
2012,alta,adulto,1,1,MS,641015,2
2012,alta,adulto,1,1,MS,715210,5
2012,alta,adulto,1,1,MS,715615,4
2012,alta,adulto,1,1,MS,716610,1
2012,alta,adulto,1,1,MS,717020,2
2012,alta,adulto,1,1,MS,723310,3
2012,alta,adulto,1,1,MS,724110,1
2012,alta,adulto,1,1,MS,724315,2
2012,alta,adulto,1,1,MS,752105,1
2012,alta,adulto,1,1,MS,760405,1
2012,alta,adulto,1,1,MS,768320,1
2012,alta,adulto,1,1,MS,773120,1
2012,alta,adulto,1,1,MS,782305,2
2012,alta,adulto,1,1,MS,782310,1
2012,alta,adulto,1,1,MS,782315,1
2012,alta,adulto,1,1,MS,782510,9
2012,alta,adulto,1,1,MS,782815,1
2012,alta,adulto,1,1,MS,784205,1
2012,alta,adulto,1,1,MS,848305,1
2012,alta,adulto,1,1,MS,848510,2
2012,alta,adulto,1,1,MS,862150,2
2012,alta,adulto,1,1,MS,914405,1
2012,alta,adulto,1,1,MS,999991,3
2012,alta,adulto,1,1,MS,999993,2
2012,alta,adulto,1,1,MT,111415,2
2012,alta,adulto,1,1,MT,141110,1
2012,alta,adulto,1,1,MT,141410,4
2012,alta,adulto,1,1,MT,142305,2
2012,alta,adulto,1,1,MT,21205,1
2012,alta,adulto,1,1,MT,262105,3
2012,alta,adulto,1,1,MT,313215,1
2012,alta,adulto,1,1,MT,317210,1
2012,alta,adulto,1,1,MT,318305,1
