bootstrap_iteration,bootstrap_sample_size,bootstrap_evaluation_sample_size,contrast,treated_level,reference_level,n_used,n_removed_no_common_support,risk_treated,risk_reference,risk_difference,risk_ratio,model_type,support_type
41,100000,100000,alta_vs_media,alta,media,86162,1447,0.6438996712000065,0.6695417730479154,-0.025642101847908938,0.9617020134066021,xgb,pairwise_common_support_min_cell_20
42,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683355720978285,0.6827712236939211,-0.014435651596092614,0.9788572641975257,xgb,pairwise_common_support_min_cell_20
42,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6371903352421483,0.6716150118869336,-0.034424676644785324,0.9487434377798263,xgb,pairwise_common_support_min_cell_20
42,100000,100000,alta_vs_media,alta,media,86162,1447,0.6435055968342972,0.669729742360016,-0.026224145525718834,0.9608436898243322,xgb,pairwise_common_support_min_cell_20
43,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682887234697963,0.6836838362103824,-0.015395112740586137,0.9774821168423108,xgb,pairwise_common_support_min_cell_20
43,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6372204027808385,0.6714412264069585,-0.03422082362612,0.9490337764792255,xgb,pairwise_common_support_min_cell_20
43,100000,100000,alta_vs_media,alta,media,86162,1447,0.6435804724098024,0.6695975795364447,-0.02601710712664229,0.9611451595379815,xgb,pairwise_common_support_min_cell_20
44,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.66832001363401,0.6831507125519785,-0.01483069891796851,0.9782907363697727,xgb,pairwise_common_support_min_cell_20
44,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6371793494858242,0.6708791487481985,-0.03369979926237432,0.9497677050698994,xgb,pairwise_common_support_min_cell_20
44,100000,100000,alta_vs_media,alta,media,86162,1447,0.6441391545260495,0.669546490818076,-0.025407336292026517,0.9620529169513189,xgb,pairwise_common_support_min_cell_20
45,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682642968767001,0.6837912343714632,-0.015526937494763082,0.977292868474637,xgb,pairwise_common_support_min_cell_20
45,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6368617695110667,0.6711223413038505,-0.034260571792783856,0.9489503333680969,xgb,pairwise_common_support_min_cell_20
45,100000,100000,alta_vs_media,alta,media,86162,1447,0.643555075181277,0.6696211512537147,-0.026066076072437716,0.9610733979599736,xgb,pairwise_common_support_min_cell_20
46,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6682892528433751,0.683237347769446,-0.014948094926070854,0.9781216659556571,xgb,pairwise_common_support_min_cell_20
46,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6371171696840182,0.6712855770150734,-0.034168407331055195,0.9491000425139657,xgb,pairwise_common_support_min_cell_20
46,100000,100000,alta_vs_media,alta,media,86162,1447,0.6436081303772088,0.669634798958023,-0.02602666858081426,0.9611330405449168,xgb,pairwise_common_support_min_cell_20
47,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683305934706039,0.6835118290020324,-0.015181235531428583,0.9777893594707877,xgb,pairwise_common_support_min_cell_20
47,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6367515109719364,0.6712653936021626,-0.034513882630226256,0.9485838493103049,xgb,pairwise_common_support_min_cell_20
47,100000,100000,alta_vs_media,alta,media,86162,1447,0.6438141626214747,0.6696790567312824,-0.025864894109807635,0.961377179337137,xgb,pairwise_common_support_min_cell_20
48,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683627137963342,0.6825514255919033,-0.014188711795569131,0.9792122450212967,xgb,pairwise_common_support_min_cell_20
48,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.637038529744894,0.6711773925363752,-0.03413886279148115,0.9491358571204691,xgb,pairwise_common_support_min_cell_20
48,100000,100000,alta_vs_media,alta,media,86162,1447,0.6437617451159736,0.6696558797736606,-0.025894134657686974,0.9613321775559724,xgb,pairwise_common_support_min_cell_20
49,100000,100000,media_vs_baixa,media,baixa,68981,3774,0.6683712622501075,0.6836384515244319,-0.015267189274324466,0.9776677434683779,xgb,pairwise_common_support_min_cell_20
49,100000,100000,alta_vs_baixa,alta,baixa,36647,2989,0.6376188064454961,0.6722185336874096,-0.034599727241913514,0.9485290489506157,xgb,pairwise_common_support_min_cell_20
