ano,idade_grupo,raca_cor,sexo,sigla_uf,escolaridade_grupo,n
2012,adulto,5,1,RJ,media,1
2012,adulto,5,1,RJ,alta,1
2012,adulto,5,1,RO,baixa,1
2012,adulto,5,1,RO,media,1
2012,adulto,5,1,RR,baixa,1
2012,adulto,5,1,RR,media,3
2012,adulto,5,1,RR,alta,4
2012,adulto,5,1,RS,baixa,1
2012,adulto,5,1,RS,media,2
2012,adulto,5,1,SC,media,2
2012,adulto,5,1,SP,baixa,1
2012,adulto,5,1,SP,media,2
2012,adulto,5,1,SP,alta,1
2012,adulto,5,1,TO,media,2
2012,adulto,5,1,TO,alta,1
2012,adulto,5,2,AM,baixa,8
2012,adulto,5,2,AM,media,12
2012,adulto,5,2,AM,alta,3
2012,adulto,5,2,BA,baixa,1
2012,adulto,5,2,BA,media,2
2012,adulto,5,2,ES,media,1
2012,adulto,5,2,MA,baixa,1
2012,adulto,5,2,MA,media,2
2012,adulto,5,2,MG,media,3
2012,adulto,5,2,MG,alta,1
2012,adulto,5,2,MS,baixa,3
2012,adulto,5,2,MS,media,14
2012,adulto,5,2,MS,alta,1
2012,adulto,5,2,MT,baixa,2
2012,adulto,5,2,MT,media,1
2012,adulto,5,2,MT,alta,2
2012,adulto,5,2,PA,baixa,1
2012,adulto,5,2,PA,media,1
2012,adulto,5,2,PB,media,1
2012,adulto,5,2,PE,baixa,1
2012,adulto,5,2,PE,media,2
2012,adulto,5,2,PR,baixa,1
2012,adulto,5,2,PR,alta,1
2012,adulto,5,2,RR,media,1
2012,adulto,5,2,RR,alta,1
2012,adulto,5,2,RS,baixa,2
2012,adulto,5,2,RS,media,2
2012,adulto,5,2,SC,media,1
2012,adulto,5,2,SC,alta,1
2012,adulto,5,2,SP,media,4
2012,idoso,1,0,RJ,media,1
2012,idoso,1,1,AC,baixa,4
2012,idoso,1,1,AC,media,15
2012,idoso,1,1,AC,alta,1
2012,idoso,1,1,AL,baixa,80
2012,idoso,1,1,AL,media,139
2012,idoso,1,1,AL,alta,28
2012,idoso,1,1,AM,baixa,40
2012,idoso,1,1,AM,media,158
2012,idoso,1,1,AM,alta,66
2012,idoso,1,1,AP,baixa,3
2012,idoso,1,1,AP,media,14
2012,idoso,1,1,AP,alta,4
2012,idoso,1,1,BA,baixa,222
2012,idoso,1,1,BA,media,466
2012,idoso,1,1,BA,alta,84
2012,idoso,1,1,CE,baixa,237
2012,idoso,1,1,CE,media,508
2012,idoso,1,1,CE,alta,140
2012,idoso,1,1,DF,baixa,53
2012,idoso,1,1,DF,media,410
2012,idoso,1,1,DF,alta,136
2012,idoso,1,1,ES,baixa,165
2012,idoso,1,1,ES,media,464
2012,idoso,1,1,ES,alta,103
2012,idoso,1,1,GO,baixa,267
2012,idoso,1,1,GO,media,695
2012,idoso,1,1,GO,alta,143
2012,idoso,1,1,MA,baixa,165
2012,idoso,1,1,MA,media,310
2012,idoso,1,1,MA,alta,73
2012,idoso,1,1,MG,baixa,769
2012,idoso,1,1,MG,media,3385
2012,idoso,1,1,MG,alta,629
2012,idoso,1,1,MS,baixa,142
2012,idoso,1,1,MS,media,674
2012,idoso,1,1,MS,alta,205
2012,idoso,1,1,MT,baixa,115
2012,idoso,1,1,MT,media,503
2012,idoso,1,1,MT,alta,89
2012,idoso,1,1,PA,baixa,111
2012,idoso,1,1,PA,media,345
2012,idoso,1,1,PA,alta,144
