ano,idade_grupo,raca_cor,sexo,sigla_uf,baixa,media,contrast,level_a,level_b,pair_stratum_n,has_pair_common_support,min_pair_cell_n,alta
2021,idoso,5,1,GO,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,5,1,MA,4.0,4.0,media_vs_baixa,baixa,media,8,False,4,
2021,idoso,5,1,MG,3.0,6.0,media_vs_baixa,baixa,media,9,False,3,
2021,idoso,5,1,MS,19.0,28.0,media_vs_baixa,baixa,media,47,False,19,
2021,idoso,5,1,MT,4.0,3.0,media_vs_baixa,baixa,media,7,False,3,
2021,idoso,5,1,PA,5.0,10.0,media_vs_baixa,baixa,media,15,False,5,
2021,idoso,5,1,PB,7.0,0.0,media_vs_baixa,baixa,media,7,False,0,
2021,idoso,5,1,PE,5.0,16.0,media_vs_baixa,baixa,media,21,False,5,
2021,idoso,5,1,PI,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,5,1,PR,6.0,8.0,media_vs_baixa,baixa,media,14,False,6,
2021,idoso,5,1,RJ,0.0,5.0,media_vs_baixa,baixa,media,5,False,0,
2021,idoso,5,1,RN,3.0,2.0,media_vs_baixa,baixa,media,5,False,2,
2021,idoso,5,1,RO,4.0,2.0,media_vs_baixa,baixa,media,6,False,2,
2021,idoso,5,1,RR,13.0,16.0,media_vs_baixa,baixa,media,29,False,13,
2021,idoso,5,1,RS,4.0,13.0,media_vs_baixa,baixa,media,17,False,4,
2021,idoso,5,1,SC,1.0,7.0,media_vs_baixa,baixa,media,8,False,1,
2021,idoso,5,1,SP,4.0,23.0,media_vs_baixa,baixa,media,27,False,4,
2021,idoso,5,1,TO,3.0,3.0,media_vs_baixa,baixa,media,6,False,3,
2021,idoso,5,2,AC,1.0,0.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,5,2,AL,3.0,1.0,media_vs_baixa,baixa,media,4,False,1,
2021,idoso,5,2,AM,39.0,21.0,media_vs_baixa,baixa,media,60,True,21,
2021,idoso,5,2,AP,0.0,1.0,media_vs_baixa,baixa,media,1,False,0,
2021,idoso,5,2,BA,6.0,5.0,media_vs_baixa,baixa,media,11,False,5,
2021,idoso,5,2,CE,5.0,6.0,media_vs_baixa,baixa,media,11,False,5,
2021,idoso,5,2,DF,1.0,1.0,media_vs_baixa,baixa,media,2,False,1,
2021,idoso,5,2,ES,1.0,1.0,media_vs_baixa,baixa,media,2,False,1,
2021,idoso,5,2,GO,2.0,5.0,media_vs_baixa,baixa,media,7,False,2,
2021,idoso,5,2,MA,2.0,4.0,media_vs_baixa,baixa,media,6,False,2,
2021,idoso,5,2,MG,8.0,9.0,media_vs_baixa,baixa,media,17,False,8,
2021,idoso,5,2,MS,16.0,17.0,media_vs_baixa,baixa,media,33,False,16,
2021,idoso,5,2,MT,5.0,1.0,media_vs_baixa,baixa,media,6,False,1,
2021,idoso,5,2,PA,4.0,2.0,media_vs_baixa,baixa,media,6,False,2,
